iid,pid,wave,gender,age,age_o,race,race_o,same_race,imp_same_race,imp_same_rel,field,goal,go_date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,int_corr,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,pf_att,pf_sin,pf_int,pf_fun,pf_amb,pf_sha,attr,sinc,fun,int,amb,exp_happy,like,dec,match
3,17,1,Female,25,30,European/Caucasian-American,European/Caucasian-American,1,8,4,Economics,Other,Once a week,Several times a week,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.26,35,15,25,10,5,10,35,10,35,10,10,0,8,9,8,9,8,4,8,0,0
3,18,1,Female,25,27,European/Caucasian-American,European/Caucasian-American,1,8,4,Economics,Other,Once a week,Several times a week,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0.29,33.33,11.11,11.11,11.11,11.11,22.22,35,10,35,10,10,0,8,9,8,9,8,4,8,0,0
3,19,1,Female,25,28,European/Caucasian-American,European/Caucasian-American,1,8,4,Economics,Other,Once a week,Several times a week,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.15,50,0,25,10,0,15,35,10,35,10,10,0,8,9,8,9,8,4,9,0,0
3,20,1,Female,25,24,European/Caucasian-American,European/Caucasian-American,1,8,4,Economics,Other,Once a week,Several times a week,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,-0.47,100,0,0,0,0,0,35,10,35,10,10,0,8,9,8,9,8,4,8,0,0
4,11,1,Female,23,27,European/Caucasian-American,European/Caucasian-American,1,1,1,Law,Seemed like a fun night out,Once a month,Several times a week,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.18,35,20,20,20,0,5,20,20,20,20,10,10,7,8,9,7,8,1,6,0,0
4,12,1,Female,23,22,European/Caucasian-American,European/Caucasian-American,1,1,1,Law,Seemed like a fun night out,Once a month,Several times a week,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.18,60,0,0,40,0,0,20,20,20,20,10,10,7,8,9,7,8,1,8,0,0
4,13,1,Female,23,22,European/Caucasian-American,Asian/Pacific Islander/Asian-American,0,1,1,Law,Seemed like a fun night out,Once a month,Several times a week,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.05,19,18,19,18,14,12,20,20,20,20,10,10,7,8,9,7,8,1,4,0,0
4,14,1,Female,23,23,European/Caucasian-American,European/Caucasian-American,1,1,1,Law,Seemed like a fun night out,Once a month,Several times a week,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.18,30,5,15,40,5,5,20,20,20,20,10,10,7,8,9,7,8,1,8,1,1
4,15,1,Female,23,24,European/Caucasian-American,Latino/Hispanic American,0,1,1,Law,Seemed like a fun night out,Once a month,Several times a week,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.21,30,10,20,10,10,20,20,20,20,20,10,10,7,8,9,7,8,1,7,0,0
4,16,1,Female,23,25,European/Caucasian-American,European/Caucasian-American,1,1,1,Law,Seemed like a fun night out,Once a month,Several times a week,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.37,50,0,30,10,0,10,20,20,20,20,10,10,7,8,9,7,8,1,4,0,0
4,17,1,Female,23,30,European/Caucasian-American,European/Caucasian-American,1,1,1,Law,Seemed like a fun night out,Once a month,Several times a week,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.35,35,15,25,10,5,10,20,20,20,20,10,10,7,8,9,7,8,1,5,0,0
4,18,1,Female,23,27,European/Caucasian-American,European/Caucasian-American,1,1,1,Law,Seemed like a fun night out,Once a month,Several times a week,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.15,33.33,11.11,11.11,11.11,11.11,22.22,20,20,20,20,10,10,7,8,9,7,8,1,6,0,0
4,19,1,Female,23,28,European/Caucasian-American,European/Caucasian-American,1,1,1,Law,Seemed like a fun night out,Once a month,Several times a week,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.47,50,0,25,10,0,15,20,20,20,20,10,10,7,8,9,7,8,1,8,1,1
4,20,1,Female,23,24,European/Caucasian-American,European/Caucasian-American,1,1,1,Law,Seemed like a fun night out,Once a month,Several times a week,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.19,100,0,0,0,0,0,20,20,20,20,10,10,7,8,9,7,8,1,10,1,0
5,11,1,Female,21,27,European/Caucasian-American,European/Caucasian-American,1,8,1,Law,To meet new people,Twice a month,Several times a week,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.43,35,20,20,20,0,5,20,5,25,25,10,15,6,3,6,10,8,7,7,0,0
5,12,1,Female,21,22,European/Caucasian-American,European/Caucasian-American,1,8,1,Law,To meet new people,Twice a month,Several times a week,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,0,60,0,0,40,0,0,20,5,25,25,10,15,6,3,6,10,8,7,6,0,0
5,13,1,Female,21,22,European/Caucasian-American,Asian/Pacific Islander/Asian-American,0,8,1,Law,To meet new people,Twice a month,Several times a week,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.17,19,18,19,18,14,12,20,5,25,25,10,15,6,3,6,10,8,7,6,0,0
5,14,1,Female,21,23,European/Caucasian-American,European/Caucasian-American,1,8,1,Law,To meet new people,Twice a month,Several times a week,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,0.08,30,5,15,40,5,5,20,5,25,25,10,15,6,3,6,10,8,7,8,1,1
5,15,1,Female,21,24,European/Caucasian-American,Latino/Hispanic American,0,8,1,Law,To meet new people,Twice a month,Several times a week,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.16,30,10,20,10,10,20,20,5,25,25,10,15,6,3,6,10,8,7,7,0,0
5,16,1,Female,21,25,European/Caucasian-American,European/Caucasian-American,1,8,1,Law,To meet new people,Twice a month,Several times a week,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,0.06,50,0,30,10,0,10,20,5,25,25,10,15,6,3,6,10,8,7,7,1,0
5,17,1,Female,21,30,European/Caucasian-American,European/Caucasian-American,1,8,1,Law,To meet new people,Twice a month,Several times a week,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.05,35,15,25,10,5,10,20,5,25,25,10,15,6,3,6,10,8,7,6,1,0
5,18,1,Female,21,27,European/Caucasian-American,European/Caucasian-American,1,8,1,Law,To meet new people,Twice a month,Several times a week,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,0.07,33.33,11.11,11.11,11.11,11.11,22.22,20,5,25,25,10,15,6,3,6,10,8,7,6,1,0
5,19,1,Female,21,28,European/Caucasian-American,European/Caucasian-American,1,8,1,Law,To meet new people,Twice a month,Several times a week,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.13,50,0,25,10,0,15,20,5,25,25,10,15,6,3,6,10,8,7,9,1,1
5,20,1,Female,21,24,European/Caucasian-American,European/Caucasian-American,1,8,1,Law,To meet new people,Twice a month,Several times a week,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,-0.06,100,0,0,0,0,0,20,5,25,25,10,15,6,3,6,10,8,7,10,1,0
6,11,1,Female,23,27,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,1,1,Law,Seemed like a fun night out,Once a week,Several times a week,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.33,35,20,20,20,0,5,10,25,20,25,5,15,5,7,8,9,5,4,6,1,0
6,12,1,Female,23,22,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,1,1,Law,Seemed like a fun night out,Once a week,Several times a week,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.37,60,0,0,40,0,0,10,25,20,25,5,15,5,7,8,9,5,4,7,1,0
6,13,1,Female,23,22,Asian/Pacific Islander/Asian-American,Asian/Pacific Islander/Asian-American,1,1,1,Law,Seemed like a fun night out,Once a week,Several times a week,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,-0.51,19,18,19,18,14,12,10,25,20,25,5,15,5,7,8,9,5,4,6,0,0
6,14,1,Female,23,23,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,1,1,Law,Seemed like a fun night out,Once a week,Several times a week,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.12,30,5,15,40,5,5,10,25,20,25,5,15,5,7,8,9,5,4,9,1,1
6,15,1,Female,23,24,Asian/Pacific Islander/Asian-American,Latino/Hispanic American,0,1,1,Law,Seemed like a fun night out,Once a week,Several times a week,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.35,30,10,20,10,10,20,10,25,20,25,5,15,5,7,8,9,5,4,4,0,0
6,16,1,Female,23,25,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,1,1,Law,Seemed like a fun night out,Once a week,Several times a week,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.19,50,0,30,10,0,10,10,25,20,25,5,15,5,7,8,9,5,4,2,0,0
6,17,1,Female,23,30,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,1,1,Law,Seemed like a fun night out,Once a week,Several times a week,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.47,35,15,25,10,5,10,10,25,20,25,5,15,5,7,8,9,5,4,8,1,0
6,18,1,Female,23,27,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,1,1,Law,Seemed like a fun night out,Once a week,Several times a week,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.03,33.33,11.11,11.11,11.11,11.11,22.22,10,25,20,25,5,15,5,7,8,9,5,4,5,0,0
6,19,1,Female,23,28,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,1,1,Law,Seemed like a fun night out,Once a week,Several times a week,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.46,50,0,25,10,0,15,10,25,20,25,5,15,5,7,8,9,5,4,9,1,1
6,20,1,Female,23,24,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,1,1,Law,Seemed like a fun night out,Once a week,Several times a week,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.43,100,0,0,0,0,0,10,25,20,25,5,15,5,7,8,9,5,4,9,1,0
7,11,1,Female,22,27,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,Law,Seemed like a fun night out,Once a month,Several times a week,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.19,35,20,20,20,0,5,15,15,25,20,15,10,6,6,5,7,7,7,7,0,0
7,12,1,Female,22,22,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,Law,Seemed like a fun night out,Once a month,Several times a week,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.21,60,0,0,40,0,0,15,15,25,20,15,10,6,6,5,7,7,7,7,0,0
7,13,1,Female,22,22,Asian/Pacific Islander/Asian-American,Asian/Pacific Islander/Asian-American,1,2,4,Law,Seemed like a fun night out,Once a month,Several times a week,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.52,19,18,19,18,14,12,15,15,25,20,15,10,6,6,5,7,7,7,7,0,0
7,14,1,Female,22,23,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,Law,Seemed like a fun night out,Once a month,Several times a week,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.46,30,5,15,40,5,5,15,15,25,20,15,10,6,6,5,7,7,7,8,1,1
7,15,1,Female,22,24,Asian/Pacific Islander/Asian-American,Latino/Hispanic American,0,2,4,Law,Seemed like a fun night out,Once a month,Several times a week,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.27,30,10,20,10,10,20,15,15,25,20,15,10,6,6,5,7,7,7,5,0,0
7,16,1,Female,22,25,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,Law,Seemed like a fun night out,Once a month,Several times a week,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.59,50,0,30,10,0,10,15,15,25,20,15,10,6,6,5,7,7,7,5,0,0
7,17,1,Female,22,30,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,Law,Seemed like a fun night out,Once a month,Several times a week,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.31,35,15,25,10,5,10,15,15,25,20,15,10,6,6,5,7,7,7,8,1,0
7,18,1,Female,22,27,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,Law,Seemed like a fun night out,Once a month,Several times a week,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.08,33.33,11.11,11.11,11.11,11.11,22.22,15,15,25,20,15,10,6,6,5,7,7,7,5,0,0
7,19,1,Female,22,28,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,Law,Seemed like a fun night out,Once a month,Several times a week,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.34,50,0,25,10,0,15,15,15,25,20,15,10,6,6,5,7,7,7,6,1,1
7,20,1,Female,22,24,Asian/Pacific Islander/Asian-American,European/Caucasian-American,0,2,4,Law,Seemed like a fun night out,Once a month,Several times a week,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.16,100,0,0,0,0,0,15,15,25,20,15,10,6,6,5,7,7,7,7,1,0
8,11,1,Female,25,27,European/Caucasian-American,European/Caucasian-American,1,1,1,Masters In Public Administration,Seemed like a fun night out,Once a month,Several times a week,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.03,35,20,20,20,0,5,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,4,1,0
8,12,1,Female,25,22,European/Caucasian-American,European/Caucasian-American,1,1,1,Masters In Public Administration,Seemed like a fun night out,Once a month,Several times a week,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.11,60,0,0,40,0,0,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,8,1,1
8,13,1,Female,25,22,European/Caucasian-American,Asian/Pacific Islander/Asian-American,0,1,1,Masters In Public Administration,Seemed like a fun night out,Once a month,Several times a week,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,0.42,19,18,19,18,14,12,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,5,1,1
8,14,1,Female,25,23,European/Caucasian-American,European/Caucasian-American,1,1,1,Masters In Public Administration,Seemed like a fun night out,Once a month,Several times a week,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.4,30,5,15,40,5,5,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,5,1,1
8,15,1,Female,25,24,European/Caucasian-American,Latino/Hispanic American,0,1,1,Masters In Public Administration,Seemed like a fun night out,Once a month,Several times a week,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.23,30,10,20,10,10,20,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,6,1,1
8,16,1,Female,25,25,European/Caucasian-American,European/Caucasian-American,1,1,1,Masters In Public Administration,Seemed like a fun night out,Once a month,Several times a week,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,0.28,50,0,30,10,0,10,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,6,1,1
8,17,1,Female,25,30,European/Caucasian-American,European/Caucasian-American,1,1,1,Masters In Public Administration,Seemed like a fun night out,Once a month,Several times a week,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,0.05,35,15,25,10,5,10,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,6,1,0
8,18,1,Female,25,27,European/Caucasian-American,European/Caucasian-American,1,1,1,Masters In Public Administration,Seemed like a fun night out,Once a month,Several times a week,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,0.17,33.33,11.11,11.11,11.11,11.11,22.22,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,5,1,1
8,19,1,Female,25,28,European/Caucasian-American,European/Caucasian-American,1,1,1,Masters In Public Administration,Seemed like a fun night out,Once a month,Several times a week,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.47,50,0,25,10,0,15,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,7,1,1
8,20,1,Female,25,24,European/Caucasian-American,European/Caucasian-American,1,1,1,Masters In Public Administration,Seemed like a fun night out,Once a month,Several times a week,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.21,100,0,0,0,0,0,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,8,1,1
9,11,1,Female,26,27,Other,European/Caucasian-American,0,1,1,Masters In Public Administration,Seemed like a fun night out,Twice a month,Several times a week,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.19,35,20,20,20,0,5,20,10,20,30,10,10,7,6,10,7,7,6,5,1,0
9,12,1,Female,26,22,Other,European/Caucasian-American,0,1,1,Masters In Public Administration,Seemed like a fun night out,Twice a month,Several times a week,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.03,60,0,0,40,0,0,20,10,20,30,10,10,7,6,10,7,7,6,10,1,1
9,13,1,Female,26,22,Other,Asian/Pacific Islander/Asian-American,0,1,1,Masters In Public Administration,Seemed like a fun night out,Twice a month,Several times a week,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.68,19,18,19,18,14,12,20,10,20,30,10,10,7,6,10,7,7,6,8,1,1
9,14,1,Female,26,23,Other,European/Caucasian-American,0,1,1,Masters In Public Administration,Seemed like a fun night out,Twice a month,Several times a week,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,-0.26,30,5,15,40,5,5,20,10,20,30,10,10,7,6,10,7,7,6,7,1,1
9,15,1,Female,26,24,Other,Latino/Hispanic American,0,1,1,Masters In Public Administration,Seemed like a fun night out,Twice a month,Several times a week,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,-0.01,30,10,20,10,10,20,20,10,20,30,10,10,7,6,10,7,7,6,5,1,1
9,16,1,Female,26,25,Other,European/Caucasian-American,0,1,1,Masters In Public Administration,Seemed like a fun night out,Twice a month,Several times a week,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.42,50,0,30,10,0,10,20,10,20,30,10,10,7,6,10,7,7,6,6,1,1
9,17,1,Female,26,30,Other,European/Caucasian-American,0,1,1,Masters In Public Administration,Seemed like a fun night out,Twice a month,Several times a week,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.21,35,15,25,10,5,10,20,10,20,30,10,10,7,6,10,7,7,6,7,1,1
9,18,1,Female,26,27,Other,European/Caucasian-American,0,1,1,Masters In Public Administration,Seemed like a fun night out,Twice a month,Several times a week,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.1,33.33,11.11,11.11,11.11,11.11,22.22,20,10,20,30,10,10,7,6,10,7,7,6,7,1,0
9,19,1,Female,26,28,Other,European/Caucasian-American,0,1,1,Masters In Public Administration,Seemed like a fun night out,Twice a month,Several times a week,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,-0.35,50,0,25,10,0,15,20,10,20,30,10,10,7,6,10,7,7,6,7,1,1
9,20,1,Female,26,24,Other,European/Caucasian-American,0,1,1,Masters In Public Administration,Seemed like a fun night out,Twice a month,Several times a week,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,-0.23,100,0,0,0,0,0,20,10,20,30,10,10,7,6,10,7,7,6,8,1,0
